cis,atc,denomination,lien,substance,dosage,est_antihistaminique
60003620,R03BA01,BECLOSPIN 800 microgrammes/2ml suspension pour inhalation par nébuliseur,http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60003620,DIPROPIONATE DE BÉCLOMÉTASONE,800 microgrammes,False
60004277,C10AB05,"FENOFIBRATE TEVA 100 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60004277,FÉNOFIBRATE,"100,00 mg",False
60004487,N02AX02,"TRAMADOL EG L.P. 200 mg, comprimé à libération prolongée",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60004487,CHLORHYDRATE DE TRAMADOL,200 mg,False
60005856,A02BA03,"FAMOTIDINE EG 20 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60005856,FAMOTIDINE,20 mg,False
60010166,B05XA03,"CHLORURE DE SODIUM PROAMP 0,0585 g/ml (5,85 %), solution à diluer pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60010166,CHLORURE DE SODIUM,"5,85 g",False
60010885,J01MA02,"CIPROFLOXACINE CRISTERS PHARMA 250 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60010885,CHLORHYDRATE DE CIPROFLOXACINE,,False
60016308,C07AG02,"CARVEDILOL VIATRIS 25 mg, comprimé pelliculé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60016308,CARVÉDILOL,25 mg,False
60016589,A16AA01,"LEVOCARNIL 1 g/5 ml, solution injectable en ampoule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60016589,LÉVOCARNITINE,1000 mg,False
60018088,N02BF02,"LYRICA 300 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60018088,PRÉGABALINE,300 mg,False
60018444,J05AF10,"ENTECAVIR TEVA 1 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60018444,ENTÉCAVIR MONOHYDRATÉ,,False
60018896,C09AA04,"PERINDOPRIL TOSILATE TEVA 10 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60018896,TOSILATE DE PÉRINDOPRIL,10 mg,False
60019813,L04AX04,"LENALIDOMIDE ARROW 2,5 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60019813,LÉNALIDOMIDE,"2,5 mg",False
60019927,N05AL05,"SOLIAN 100 mg, comprimé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60019927,AMISULPRIDE,100 mg,False
60021127,C03DA01,"SPIRONOLACTONE VIATRIS 75 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60021127,SPIRONOLACTONE,"75,00 mg",False
60021216,B01AC07,"PERSANTINE 75 mg, comprimé enrobé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60021216,DIPYRIDAMOLE,75 mg,False
60025054,C02KX05,"ADEMPAS 1,5 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60025054,RIOCIGUAT,"1,50 mg",False
60026957,A10BB01,"GLIBENCLAMIDE TEVA 5 mg, comprimé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60026957,GLIBENCLAMIDE,5 mg,False
60028552,M03AC04,"TRACRIUM 25 mg/2,5 ml (1 POUR CENT), solution injectable en ampoule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60028552,BÉSILATE D'ATRACURIUM,25 mg,False
60030699,B01AD04,"THERASOLV 100 000 UI, poudre pour solution injectable/pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60030699,UROKINASE (MAMMIFERE/HUMAIN/URINE),100 000 UI,False
60031071,N05AX12,"ARIPIPRAZOLE SANDOZ 10 mg, comprimé orodispersible",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60031071,ARIPIPRAZOLE,10 mg,False
60033389,L01DC01,"BLEOMYCINE ACCORD 15000 UI, poudre pour solution injectable / pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60033389,SULFATE DE BLÉOMYCINE,,False
