Date,Currency_Code,Currency_Name,Country,Rate_to_EUR
2024-01-01,EUR,Euro,Eurozone,1.0236
2024-01-01,SEK,Swedish Krona,Sweden,11.2766
2024-01-01,NOK,Norwegian Krone,Norway,11.7936
2024-01-01,DKK,Danish Krone,Denmark,7.6373
2024-01-01,PLN,Polish Zloty,Poland,4.2728
2024-01-01,CZK,Czech Koruna,Czech Republic,24.5909
2024-01-01,HUF,Hungarian Forint,Hungary,387.0765
2024-01-01,RON,Romanian Leu,Romania,4.9483
2024-01-01,HRK,Croatian Kuna,Croatia,7.6737
2024-01-01,CHF,Swiss Franc,Switzerland,0.9603
2024-01-01,GBP,British Pound,United Kingdom,0.8346
2024-01-01,USD,US Dollar,United States,1.0807
2024-01-02,EUR,Euro,Eurozone,0.995
2024-01-02,SEK,Swedish Krona,Sweden,11.0624
2024-01-02,NOK,Norwegian Krone,Norway,11.3159
2024-01-02,DKK,Danish Krone,Denmark,7.3873
2024-01-02,PLN,Polish Zloty,Poland,4.4348
2024-01-02,CZK,Czech Koruna,Czech Republic,24.9129
2024-01-02,HUF,Hungarian Forint,Hungary,393.9436
2024-01-02,RON,Romanian Leu,Romania,5.0305
2024-01-02,HRK,Croatian Kuna,Croatia,7.4684
2024-01-02,CHF,Swiss Franc,Switzerland,0.9666
2024-01-02,GBP,British Pound,United Kingdom,0.8839
2024-01-02,USD,US Dollar,United States,1.0639
2024-01-03,EUR,Euro,Eurozone,0.9998
2024-01-03,SEK,Swedish Krona,Sweden,11.1156
2024-01-03,NOK,Norwegian Krone,Norway,11.4305
2024-01-03,DKK,Danish Krone,Denmark,7.2527
2024-01-03,PLN,Polish Zloty,Poland,4.3484
2024-01-03,CZK,Czech Koruna,Czech Republic,25.184
2024-01-03,HUF,Hungarian Forint,Hungary,382.9104
2024-01-03,RON,Romanian Leu,Romania,4.904
2024-01-03,HRK,Croatian Kuna,Croatia,7.7145
2024-01-03,CHF,Swiss Franc,Switzerland,0.9253
2024-01-03,GBP,British Pound,United Kingdom,0.8417
2024-01-03,USD,US Dollar,United States,1.0793
2024-01-04,EUR,Euro,Eurozone,1.0291
2024-01-04,SEK,Swedish Krona,Sweden,11.0759
2024-01-04,NOK,Norwegian Krone,Norway,11.6996
2024-01-04,DKK,Danish Krone,Denmark,7.5771
2024-01-04,PLN,Polish Zloty,Poland,4.252
