Transaction_ID,Transaction_Date,Product_ID,Quantity,Unit_Price,Total_Amount,Country,Sales_Channel,Currency
TXN-2025_04-00001,2025-04-30,PRD-5001,3,59.99,179.97,Poland,Retail,EUR
TXN-2025_04-00002,2025-04-22,PRD-3002,3,449.99,1349.97,Finland,Partner,EUR
TXN-2025_04-00003,2025-04-26,PRD-5003,3,79.99,239.97,Czech Republic,Online,EUR
TXN-2025_04-00004,2025-04-06,PRD-2003,1,649.99,649.99,Poland,Retail,EUR
TXN-2025_04-00005,2025-04-14,PRD-3001,1,799.99,799.99,Ireland,Retail,EUR
TXN-2025_04-00006,2025-04-02,PRD-4002,1,149.99,149.99,Denmark,Online,EUR
TXN-2025_04-00007,2025-04-11,PRD-1003,1,349.99,349.99,Norway,Retail,EUR
TXN-2025_04-00008,2025-04-15,PRD-2002,2,1099.99,2199.98,Portugal,Online,EUR
TXN-2025_04-00009,2025-04-26,PRD-4002,1,149.99,149.99,Italy,Online,EUR
TXN-2025_04-00010,2025-04-26,PRD-1001,3,899.99,2699.97,Sweden,Online,EUR
TXN-2025_04-00011,2025-04-08,PRD-2003,3,649.99,1949.97,Netherlands,Partner,EUR
TXN-2025_04-00012,2025-04-22,PRD-4001,1,249.99,249.99,Poland,Online,EUR
TXN-2025_04-00013,2025-04-13,PRD-8001,2,99.99,199.98,France,Retail,EUR
TXN-2025_04-00014,2025-04-30,PRD-6002,1,449.99,449.99,Greece,Online,EUR
TXN-2025_04-00015,2025-04-19,PRD-1003,1,349.99,349.99,Germany,Online,EUR
TXN-2025_04-00016,2025-04-10,PRD-3001,1,799.99,799.99,Sweden,Retail,EUR
TXN-2025_04-00017,2025-04-09,PRD-1001,2,899.99,1799.98,Spain,Retail,EUR
TXN-2025_04-00018,2025-04-18,PRD-1003,1,349.99,349.99,Portugal,Online,EUR
TXN-2025_04-00019,2025-04-07,PRD-5002,2,39.99,79.98,Hungary,Online,EUR
TXN-2025_04-00020,2025-04-03,PRD-1002,1,599.99,599.99,Greece,Partner,EUR
TXN-2025_04-00021,2025-04-12,PRD-1003,3,349.99,1049.97,Austria,Online,EUR
TXN-2025_04-00022,2025-04-15,PRD-7003,2,89.99,179.98,Greece,Retail,EUR
TXN-2025_04-00023,2025-04-22,PRD-5004,1,19.99,19.99,Poland,Retail,EUR
TXN-2025_04-00024,2025-04-21,PRD-5003,1,79.99,79.99,Ireland,Retail,EUR
TXN-2025_04-00025,2025-04-13,PRD-6001,1,199.99,199.99,Poland,Partner,EUR
TXN-2025_04-00026,2025-04-06,PRD-5001,1,59.99,59.99,Denmark,Retail,EUR
TXN-2025_04-00027,2025-04-08,PRD-1002,3,599.99,1799.97,Hungary,Online,EUR
TXN-2025_04-00028,2025-04-14,PRD-3001,1,799.99,799.99,Spain,Online,EUR
TXN-2025_04-00029,2025-04-03,PRD-2003,1,649.99,649.99,Belgium,Online,EUR
TXN-2025_04-00030,2025-04-16,PRD-2001,2,1299.99,2599.98,Croatia,Online,EUR
TXN-2025_04-00031,2025-04-18,PRD-6001,1,199.99,199.99,Ireland,Partner,EUR
