id,cast,crew
1000,"[{""cast_id"": 0, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Margot Robbie"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Robert Downey Jr"", ""character"": ""Character 3""}]","[{""job"": ""Director"", ""name"": ""Jordan Peele""}, {""job"": ""Producer"", ""name"": ""Producer 6""}]"
1001,"[{""cast_id"": 0, ""name"": ""Brad Pitt"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Gal Gadot"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Chris Evans"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Scarlett Johansson"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Anne Hathaway"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Robert Downey Jr"", ""character"": ""Character 6""}]","[{""job"": ""Director"", ""name"": ""Wes Anderson""}, {""job"": ""Producer"", ""name"": ""Producer 40""}]"
1002,"[{""cast_id"": 0, ""name"": ""Gal Gadot"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Matt Damon"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Angelina Jolie"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Natalie Portman"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Emily Blunt"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 6""}, {""cast_id"": 6, ""name"": ""Ryan Gosling"", ""character"": ""Character 7""}]","[{""job"": ""Director"", ""name"": ""Martin Scorsese""}, {""job"": ""Producer"", ""name"": ""Producer 45""}]"
1003,"[{""cast_id"": 0, ""name"": ""Amy Adams"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Chris Evans"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Emma Stone"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Margot Robbie"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Angelina Jolie"", ""character"": ""Character 5""}]","[{""job"": ""Director"", ""name"": ""Wes Anderson""}, {""job"": ""Producer"", ""name"": ""Producer 49""}]"
1004,"[{""cast_id"": 0, ""name"": ""Chris Evans"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Tom Hardy"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Angelina Jolie"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Emma Stone"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 6""}]","[{""job"": ""Director"", ""name"": ""James Cameron""}, {""job"": ""Producer"", ""name"": ""Producer 25""}]"
1005,"[{""cast_id"": 0, ""name"": ""Gal Gadot"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Robert Downey Jr"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Matt Damon"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Tom Hardy"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Margot Robbie"", ""character"": ""Character 6""}]","[{""job"": ""Director"", ""name"": ""James Cameron""}, {""job"": ""Producer"", ""name"": ""Producer 32""}]"
1006,"[{""cast_id"": 0, ""name"": ""Anne Hathaway"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Will Smith"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Emma Stone"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Margot Robbie"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Matt Damon"", ""character"": ""Character 5""}]","[{""job"": ""Director"", ""name"": ""Steven Spielberg""}, {""job"": ""Producer"", ""name"": ""Producer 47""}]"
1007,"[{""cast_id"": 0, ""name"": ""Christian Bale"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Matt Damon"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Emma Stone"", ""character"": ""Character 3""}]","[{""job"": ""Director"", ""name"": ""Steven Spielberg""}, {""job"": ""Producer"", ""name"": ""Producer 37""}]"
1008,"[{""cast_id"": 0, ""name"": ""Chris Evans"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Robert Downey Jr"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Ryan Gosling"", ""character"": ""Character 3""}]","[{""job"": ""Director"", ""name"": ""James Cameron""}, {""job"": ""Producer"", ""name"": ""Producer 7""}]"
1009,"[{""cast_id"": 0, ""name"": ""Emma Stone"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Angelina Jolie"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Emily Blunt"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Natalie Portman"", ""character"": ""Character 6""}, {""cast_id"": 6, ""name"": ""Will Smith"", ""character"": ""Character 7""}]","[{""job"": ""Director"", ""name"": ""Jordan Peele""}, {""job"": ""Producer"", ""name"": ""Producer 12""}]"
