TransactionID,StoreID,ProductEAN,Quantity,TotalAmount,TransactionDate,PaymentMethod,CustomerID,DiscountApplied
TXN100001,ST001,5410036301159,1,9.99,2024-10-01,Espèces,,0.0
TXN100002,ST001,3017620422003,3,10.47,2024-10-01,Carte Bancaire,,0.0
TXN100003,ST001,3014260115692,1,2.39,2024-10-01,Espèces,CF000274,0.0
TXN100004,ST001,3033710074532,1,2.19,2024-10-01,Espèces,,0.0
TXN100005,ST001,3033710074532,2,4.38,2024-10-01,Carte Fidélité,,0.88
TXN100006,ST001,0000000000000,1,6.9,2024-10-01,Carte Bancaire,,0.0
TXN100007,ST001,3600523497157,1,3.89,2024-10-01,Carte Fidélité,,0.58
TXN100008,ST001,3256220122245,2,2.18,2024-10-01,Carte Bancaire,,0.0
TXN100009,ST001,3059940003074,1,1.49,2024-10-01,Sans Contact,,0.3
TXN100010,ST001,3179730009762,1,2.49,2024-10-01,Carte Bancaire,,0.0
TXN100011,ST001,4015400507581,1,14.99,2024-10-01,Carte Bancaire,CF000037,0.75
TXN100012,ST001,3256220122245,3,3.27,2024-10-01,Carte Fidélité,CF000397,0.0
TXN100013,ST001,5410076959839,1,2.69,2024-10-01,Carte Bancaire,,0.0
TXN100014,ST001,5410036301159,1,9.99,2024-10-01,Chèque,,0.0
TXN100015,ST001,3038350011503,1,0.99,2024-10-01,Carte Bancaire,CF000386,0.0
TXN100016,ST001,3073781069556,1,2.69,2024-10-01,Sans Contact,CF000142,0.0
TXN100017,ST001,5410036301159,2,19.98,2024-10-01,Sans Contact,,0.0
TXN100018,ST001,8076809513753,1,1.69,2024-10-01,Carte Bancaire,,0.0
TXN100019,ST001,3560070404360,3,6.87,2024-10-01,Espèces,,1.37
TXN100020,ST001,7622300489434,1,2.15,2024-10-01,Chèque,,0.0
TXN100021,ST001,4015400507581,3,44.97,2024-10-01,Espèces,,0.0
TXN100022,ST001,3059940003074,1,1.49,2024-10-01,Carte Bancaire,,0.0
TXN100023,ST001,3560070404360,1,2.29,2024-10-01,Espèces,CF000365,0.0
TXN100024,ST001,7622300489434,2,4.3,2024-10-01,Carte Bancaire,,0.21
TXN100025,ST001,3038350011503,5,4.95,2024-10-01,Espèces,CF000168,0.0
TXN100026,ST001,5410076959839,2,5.38,2024-10-01,Espèces,,0.0
TXN100027,ST001,3560070140084,1,1.59,2024-10-01,Espèces,,0.0
TXN100028,ST001,5410036301159,2,19.98,2024-10-01,Sans Contact,CF000007,0.0
TXN100029,ST001,3256220122245,1,1.09,2024-10-01,Sans Contact,,0.0
TXN100030,ST001,3059940003074,3,4.47,2024-10-01,Carte Bancaire,,0.0
TXN100031,ST001,3073781069556,1,2.69,2024-10-01,Chèque,CF000365,0.0
TXN100032,ST001,5449000000996,1,1.59,2024-10-01,Sans Contact,,0.0
TXN100033,ST001,3560070976508,3,8.37,2024-10-01,Carte Bancaire,,0.0
TXN100034,ST001,0000000000000,1,4.05,2024-10-01,Carte Bancaire,,0.0
TXN100035,ST001,3124480186805,3,2.07,2024-10-01,Sans Contact,,0.0
TXN100036,ST001,7613035799790,2,14.98,2024-10-01,Sans Contact,CF000040,0.75
TXN100037,ST001,3560070404360,1,2.29,2024-10-01,Carte Bancaire,CF000206,0.0
TXN100038,ST001,4015400507581,1,14.99,2024-10-01,Carte Bancaire,CF000234,0.0
TXN100039,ST001,8076809513753,2,3.38,2024-10-01,Sans Contact,CF000189,0.0
TXN100040,ST001,3038350011503,2,1.98,2024-10-01,Carte Fidélité,,0.0
TXN100041,ST001,3017620422003,1,3.49,2024-10-01,Carte Fidélité,,0.0
TXN100042,ST001,3017620422003,2,6.98,2024-10-01,Sans Contact,,0.0
TXN100043,ST001,3560070140084,1,1.59,2024-10-01,Chèque,,0.24
TXN100044,ST001,7613035799790,1,7.49,2024-10-01,Espèces,,0.0
TXN100045,ST001,5410036301159,1,9.99,2024-10-01,Sans Contact,CF000069,0.0
TXN100046,ST001,3175681851849,1,1.89,2024-10-01,Carte Bancaire,,0.0
TXN100047,ST001,3560070404360,1,2.29,2024-10-01,Espèces,,0.0
TXN100048,ST001,3038350011503,1,0.99,2024-10-01,Carte Bancaire,,0.2
TXN100049,ST001,3073781069556,1,2.69,2024-10-01,Carte Fidélité,,0.0
TXN100050,ST001,4015400507581,1,14.99,2024-10-01,Espèces,CF000352,0.0
TXN100051,ST001,3038350011503,3,2.97,2024-10-01,Carte Bancaire,,0.0
TXN100052,ST001,5449000000996,1,1.59,2024-10-01,Chèque,CF000420,0.32
TXN100053,ST001,3124480186805,2,1.38,2024-10-01,Carte Bancaire,CF000237,0.0
TXN100054,ST001,3175681851849,3,5.67,2024-10-01,Carte Bancaire,,0.0
TXN100055,ST001,3600523497157,4,15.56,2024-10-01,Carte Bancaire,CF000301,0.0
TXN100056,ST001,0000000000000,2,6.74,2024-10-01,Carte Bancaire,,0.0
TXN100057,ST001,3560070976508,1,2.79,2024-10-01,Carte Bancaire,,0.0
TXN100058,ST001,3033490004606,1,2.99,2024-10-01,Espèces,,0.0
TXN100059,ST001,3560070468850,1,5.49,2024-10-01,Carte Bancaire,,0.0
TXN100060,ST001,8076809513753,1,1.69,2024-10-01,Espèces,,0.34
TXN100061,ST001,3038350011503,2,1.98,2024-10-01,Carte Bancaire,,0.0
TXN100062,ST001,3017620422003,5,17.45,2024-10-01,Espèces,,0.0
TXN100063,ST001,7613035799790,2,14.98,2024-10-01,Carte Bancaire,,1.5
TXN100064,ST001,3560070404360,2,4.58,2024-10-01,Espèces,CF000242,0.0
TXN100065,ST001,8000500310427,1,3.29,2024-10-01,Carte Bancaire,,0.0
TXN100066,ST001,3175681851849,2,3.78,2024-10-01,Sans Contact,,0.0
TXN100067,ST001,7613035799790,3,22.47,2024-10-01,Carte Bancaire,,0.0
TXN100068,ST001,3014260115692,1,2.39,2024-10-01,Sans Contact,,0.0
TXN100069,ST001,3228857000166,2,8.98,2024-10-01,Carte Fidélité,CF000415,0.0
TXN100070,ST001,3033710074532,1,2.19,2024-10-01,Carte Bancaire,CF000309,0.0
TXN100071,ST001,1234567890123,1,3.42,2024-10-01,Chèque,,0.0
TXN100072,ST001,3017620422003,1,3.49,2024-10-01,Carte Bancaire,,0.52
TXN100073,ST001,3256220122245,2,2.18,2024-10-01,Sans Contact,,0.0
TXN100074,ST001,8000500310427,2,6.58,2024-10-01,Sans Contact,,0.0
TXN100075,ST001,3014260115692,4,9.56,2024-10-01,Chèque,,0.0
TXN100076,ST001,3179730009762,3,7.47,2024-10-01,Sans Contact,,0.0
TXN100077,ST001,3017620422003,4,13.96,2024-10-01,Espèces,,0.0
TXN100078,ST001,3175681851849,1,1.89,2024-10-01,Carte Fidélité,,0.0
TXN100079,ST001,3560070976508,4,11.16,2024-10-01,Carte Bancaire,CF000382,0.0
TXN100080,ST001,3600523497157,3,11.67,2024-10-01,Sans Contact,CF000363,0.0
TXN100081,ST001,3017620422003,1,3.49,2024-10-01,Espèces,CF000035,0.0
TXN100082,ST001,3175681851849,1,1.89,2024-10-01,Chèque,,0.0
TXN100083,ST001,3033490004606,1,2.99,2024-10-01,Carte Fidélité,,0.0
TXN100084,ST001,3059940003074,2,2.98,2024-10-01,Carte Fidélité,CF000038,0.15
TXN100085,ST001,3560070976508,1,2.79,2024-10-01,Carte Bancaire,CF000193,0.14
TXN100086,ST001,3560070541225,3,8.07,2024-10-01,Espèces,,0.0
TXN100087,ST001,3073781069556,1,2.69,2024-10-01,Chèque,CF000106,0.0
TXN100088,ST001,7613035799790,2,14.98,2024-10-01,Carte Bancaire,CF000145,3.0
TXN100089,ST001,3576280147583,1,2.89,2024-10-01,Espèces,CF000002,0.0
TXN100090,ST001,3560070541225,1,2.69,2024-10-01,Carte Bancaire,CF000106,0.0
TXN100091,ST001,4015400507581,1,14.99,2024-10-01,Espèces,,0.0
TXN100092,ST001,3600523497157,1,3.89,2024-10-01,Espèces,CF000454,0.0
TXN100093,ST001,3560070824267,1,1.89,2024-10-01,Sans Contact,CF000138,0.0
TXN100094,ST001,3560070976508,1,2.79,2024-10-01,Espèces,,0.0
TXN100095,ST001,3124480186805,1,0.69,2024-10-01,Espèces,,0.0
TXN100096,ST001,7613035799790,1,7.49,2024-10-01,Espèces,,0.37
TXN100097,ST001,3045386371655,1,29.99,2024-10-01,Chèque,,6.0
TXN100098,ST001,8000500310427,5,16.45,2024-10-01,Carte Bancaire,,0.0
TXN100099,ST001,3073781069556,1,2.69,2024-10-01,Carte Bancaire,,0.0
TXN100100,ST001,5410036301159,3,29.97,2024-10-01,Sans Contact,CF000199,0.0
TXN100101,ST001,5449000000996,1,1.59,2024-10-01,Carte Fidélité,,0.0
TXN100102,ST001,3073781069556,1,2.69,2024-10-01,Sans Contact,CF000291,0.0
TXN100103,ST001,7613035799790,1,7.49,2024-10-01,Carte Fidélité,,0.0
TXN100104,ST001,3045386371655,1,29.99,2024-10-01,Espèces,,0.0
TXN100105,ST001,3560070468850,1,5.49,2024-10-01,Sans Contact,,0.0
TXN100106,ST001,3045386371655,1,29.99,2024-10-01,Espèces,CF000382,0.0
TXN100107,ST001,3560070396405,3,3.87,2024-10-01,Carte Bancaire,,0.0
TXN100108,ST001,3560070976508,5,13.95,2024-10-01,Chèque,CF000154,0.0
TXN100109,ST001,3560070468850,2,10.98,2024-10-01,Carte Bancaire,,0.0
TXN100110,ST001,3073781069556,2,5.38,2024-10-01,Carte Fidélité,,0.0
TXN100111,ST001,8000500310427,1,3.29,2024-10-01,Espèces,,0.0
TXN100112,ST001,3179730009762,1,2.49,2024-10-01,Carte Bancaire,CF000427,0.12
TXN100113,ST001,7613035799790,1,7.49,2024-10-01,Carte Fidélité,CF000189,0.0
TXN100114,ST001,3560070976508,2,5.58,2024-10-01,Sans Contact,CF000251,0.0
TXN100115,ST001,3179730009762,2,4.98,2024-10-01,Carte Fidélité,,0.0
TXN100116,ST001,7622300489434,1,2.15,2024-10-01,Carte Bancaire,,0.0
TXN100117,ST001,4015400507581,1,14.99,2024-10-01,Carte Bancaire,CF000106,0.0
TXN100118,ST001,1234567890123,3,1.89,2024-10-01,Sans Contact,,0.28
TXN100119,ST001,8076809513753,2,3.38,2024-10-01,Carte Bancaire,,0.0
TXN100120,ST001,3560070824267,1,1.89,2024-10-01,Sans Contact,,0.0
