TransactionID,StoreID,ProductEAN,Quantity,TotalAmount,TransactionDate,PaymentMethod,CustomerID,DiscountApplied
TXN101567,ST001,4015400507581,1,14.99,2024-10-02,Espèces,,2.25
TXN101568,ST001,3014260115692,1,2.39,2024-10-02,Espèces,,0.0
TXN101569,ST001,3560070468850,2,10.98,2024-10-02,Carte Bancaire,,0.0
TXN101570,ST001,3017620422003,1,3.49,2024-10-02,Espèces,CF000356,0.35
TXN101571,ST001,5410076959839,1,2.69,2024-10-02,Carte Fidélité,,0.0
TXN101572,ST001,5449000000996,4,6.36,2024-10-02,Carte Fidélité,,0.0
TXN101573,ST001,3560070976508,2,5.58,2024-10-02,Espèces,CF000105,0.0
TXN101574,ST001,3560070468850,2,10.98,2024-10-02,Espèces,CF000014,0.0
TXN101575,ST001,4015400507581,1,14.99,2024-10-02,Espèces,,0.0
TXN101576,ST001,8000500310427,1,3.29,2024-10-02,Carte Bancaire,CF000460,0.0
TXN101577,ST001,3033710074532,1,2.19,2024-10-02,Carte Fidélité,,0.0
TXN101578,ST001,3560070404360,2,4.58,2024-10-02,Espèces,,0.0
TXN101579,ST001,5410076959839,1,2.69,2024-10-02,Sans Contact,,0.54
TXN101580,ST001,4015400507581,2,29.98,2024-10-02,Carte Bancaire,CF000264,0.0
TXN101581,ST001,7622300489434,2,4.3,2024-10-02,Carte Bancaire,,0.0
TXN101582,ST001,3560070468850,1,5.49,2024-10-02,Espèces,,0.0
TXN101583,ST001,5449000000996,1,1.59,2024-10-02,Carte Bancaire,,0.0
TXN101584,ST001,3256220122245,2,2.18,2024-10-02,Chèque,,0.44
TXN101585,ST001,3560070404360,1,2.29,2024-10-02,Sans Contact,CF000074,0.0
TXN101586,ST001,3033490004606,1,2.99,2024-10-02,Espèces,,0.0
TXN101587,ST001,3576280147583,5,14.45,2024-10-02,Chèque,,0.0
TXN101588,ST001,3560070824267,1,1.89,2024-10-02,Espèces,CF000394,0.0
TXN101589,ST001,8000500310427,1,3.29,2024-10-02,Espèces,,0.0
TXN101590,ST001,5410076959839,3,8.07,2024-10-02,Carte Bancaire,,0.0
TXN101591,ST001,3017620422003,4,13.96,2024-10-02,Chèque,CF000117,0.0
TXN101592,ST001,3014260115692,1,2.39,2024-10-02,Espèces,,0.0
TXN101593,ST001,7622300489434,4,8.6,2024-10-02,Carte Bancaire,,0.0
TXN101594,ST001,5449000000996,1,1.59,2024-10-02,Carte Bancaire,,0.24
TXN101595,ST001,3059940003074,1,1.49,2024-10-02,Espèces,,0.0
TXN101596,ST001,3560070140084,2,3.18,2024-10-02,Carte Bancaire,,0.0
TXN101597,ST001,3600523497157,2,7.78,2024-10-02,Carte Fidélité,,0.0
TXN101598,ST001,3560070541225,1,2.69,2024-10-02,Chèque,CF000026,0.0
TXN101599,ST001,3045386371655,1,29.99,2024-10-02,Espèces,,0.0
TXN101600,ST001,8076809513753,1,1.69,2024-10-02,Sans Contact,CF000285,0.0
TXN101601,ST001,3560070541225,4,10.76,2024-10-02,Carte Bancaire,CF000211,0.0
TXN101602,ST001,3560070404360,5,11.45,2024-10-02,Espèces,,0.0
TXN101603,ST001,3179730009762,1,2.49,2024-10-02,Carte Bancaire,,0.0
TXN101604,ST001,3045386371655,1,29.99,2024-10-02,Sans Contact,,0.0
TXN101605,ST001,3228857000166,2,8.98,2024-10-02,Carte Bancaire,,1.35
TXN101606,ST001,3059940003074,2,2.98,2024-10-02,Sans Contact,,0.0
TXN101607,ST001,5410036301159,2,19.98,2024-10-02,Chèque,CF000451,0.0
TXN101608,ST001,3560070468850,4,21.96,2024-10-02,Carte Fidélité,CF000430,4.39
TXN101609,ST001,8000500310427,3,9.87,2024-10-02,Carte Fidélité,,0.0
TXN101610,ST001,3560070976508,1,2.79,2024-10-02,Chèque,,0.0
TXN101611,ST001,4015400507581,2,29.98,2024-10-02,Chèque,,0.0
TXN101612,ST001,4015400507581,2,29.98,2024-10-02,Sans Contact,,0.0
TXN101613,ST001,3560070396405,1,1.29,2024-10-02,Chèque,,0.06
TXN101614,ST001,3033710074532,1,2.19,2024-10-02,Sans Contact,,0.0
TXN101615,ST001,3059940003074,3,4.47,2024-10-02,Sans Contact,,0.0
TXN101616,ST001,4015400507581,4,59.96,2024-10-02,Sans Contact,,0.0
TXN101617,ST001,3560070976508,2,5.58,2024-10-02,Carte Bancaire,CF000392,0.0
TXN101618,ST001,3560070541225,1,2.69,2024-10-02,Sans Contact,,0.0
TXN101619,ST001,4015400507581,1,14.99,2024-10-02,Carte Bancaire,,0.0
TXN101620,ST001,5410036301159,2,19.98,2024-10-02,Carte Bancaire,,0.0
TXN101621,ST001,9999999999999,4,7.72,2024-10-02,Sans Contact,,0.0
TXN101622,ST001,3576280147583,2,5.78,2024-10-02,Chèque,,0.0
TXN101623,ST001,3560070396405,1,1.29,2024-10-02,Carte Bancaire,,0.0
TXN101624,ST001,3059940003074,3,4.47,2024-10-02,Sans Contact,,0.0
TXN101625,ST001,8000500310427,3,9.87,2024-10-02,Espèces,,0.0
TXN101626,ST001,3576280147583,4,11.56,2024-10-02,Espèces,,0.0
TXN101627,ST001,3033490004606,1,2.99,2024-10-02,Carte Bancaire,,0.0
TXN101628,ST001,3014260115692,1,2.39,2024-10-02,Espèces,,0.0
TXN101629,ST001,8000500310427,1,3.29,2024-10-02,Espèces,CF000298,0.0
TXN101630,ST001,8076809513753,2,3.38,2024-10-02,Espèces,,0.0
TXN101631,ST001,7622300489434,2,4.3,2024-10-02,Sans Contact,,0.0
TXN101632,ST001,3560070396405,1,1.29,2024-10-02,Chèque,,0.19
TXN101633,ST001,7622300489434,1,2.15,2024-10-02,Carte Bancaire,CF000423,0.0
TXN101634,ST001,3560070468850,1,5.49,2024-10-02,Chèque,CF000356,0.0
TXN101635,ST001,3600523497157,3,11.67,2024-10-02,Carte Bancaire,CF000152,2.33
TXN101636,ST001,3073781069556,2,5.38,2024-10-02,Carte Bancaire,,0.0
TXN101637,ST001,3033490004606,2,5.98,2024-10-02,Chèque,,0.0
TXN101638,ST001,3256220122245,3,3.27,2024-10-02,Espèces,CF000190,0.0
TXN101639,ST001,3124480186805,1,0.69,2024-10-02,Carte Bancaire,,0.0
TXN101640,ST001,3560070140084,2,3.18,2024-10-02,Carte Bancaire,,0.0
TXN101641,ST001,3014260115692,1,2.39,2024-10-02,Carte Fidélité,,0.0
TXN101642,ST001,3014260115692,2,4.78,2024-10-02,Carte Fidélité,,0.0
TXN101643,ST001,3576280147583,1,2.89,2024-10-02,Espèces,,0.0
TXN101644,ST001,8000500310427,1,3.29,2024-10-02,Sans Contact,,0.0
TXN101645,ST001,3014260115692,1,2.39,2024-10-02,Carte Bancaire,,0.0
TXN101646,ST001,3045386371655,2,59.98,2024-10-02,Espèces,,0.0
TXN101647,ST001,3033490004606,1,2.99,2024-10-02,Espèces,,0.0
TXN101648,ST001,3179730009762,2,4.98,2024-10-02,Espèces,,0.0
TXN101649,ST001,3179730009762,1,2.49,2024-10-02,Carte Bancaire,CF000313,0.0
TXN101650,ST001,3059940003074,5,7.45,2024-10-02,Espèces,,0.0
TXN101651,ST001,3560070140084,5,7.95,2024-10-02,Chèque,,0.0
TXN101652,ST001,7613035799790,1,7.49,2024-10-02,Carte Bancaire,CF000046,0.0
TXN101653,ST001,5410076959839,1,2.69,2024-10-02,Sans Contact,,0.4
TXN101654,ST001,8076809513753,1,1.69,2024-10-02,Carte Fidélité,,0.0
TXN101655,ST001,3033490004606,1,2.99,2024-10-02,Sans Contact,,0.6
TXN101656,ST001,5449000000996,1,1.59,2024-10-02,Carte Bancaire,,0.0
TXN101657,ST001,3560070976508,1,2.79,2024-10-02,Espèces,,0.56
TXN101658,ST001,3560070404360,3,6.87,2024-10-02,Carte Fidélité,,0.0
TXN101659,ST001,3560070541225,1,2.69,2024-10-02,Chèque,,0.27
TXN101660,ST001,3179730009762,1,2.49,2024-10-02,Carte Fidélité,,0.0
TXN101661,ST001,3576280147583,3,8.67,2024-10-02,Chèque,CF000020,0.0
TXN101662,ST001,3560070976508,3,8.37,2024-10-02,Carte Bancaire,,0.0
TXN101663,ST001,5449000000996,1,1.59,2024-10-02,Sans Contact,CF000099,0.0
TXN101664,ST001,3560070824267,4,7.56,2024-10-02,Espèces,,0.0
TXN101665,ST001,3124480186805,1,0.69,2024-10-02,Carte Bancaire,CF000073,0.0
TXN101666,ST001,3033490004606,1,2.99,2024-10-02,Espèces,CF000472,0.0
TXN101667,ST001,3059940003074,3,4.47,2024-10-02,Carte Bancaire,CF000267,0.0
TXN101668,ST001,3179730009762,2,4.98,2024-10-02,Espèces,,0.0
TXN101669,ST001,3560070396405,1,1.29,2024-10-02,Carte Bancaire,,0.0
TXN101670,ST001,3033490004606,1,2.99,2024-10-02,Espèces,CF000054,0.0
TXN101671,ST001,3033710074532,5,10.95,2024-10-02,Carte Fidélité,,0.0
TXN101672,ST001,3175681851849,1,1.89,2024-10-02,Sans Contact,CF000457,0.0
TXN101673,ST001,3600523497157,1,3.89,2024-10-02,Carte Bancaire,CF000015,0.0
TXN101674,ST001,3124480186805,1,0.69,2024-10-02,Carte Fidélité,,0.0
TXN101675,ST001,8000500310427,1,3.29,2024-10-02,Carte Bancaire,,0.0
TXN101676,ST001,8000500310427,3,9.87,2024-10-02,Carte Bancaire,,0.0
