DepartmentID,DepartmentName,DiagnosisCategory,FocusArea
1,Emergency,General,Acute Emergency Care
2,Cardiology,Cardiovascular,Heart Disease Management
3,Cardiac Surgery,Cardiovascular,Surgical Cardiac Interventions
4,Orthopedic,Musculoskeletal,Bone and Joint Care
5,Urgent Care,General,Non-Emergency Walk-In Care
6,Dermatology,Other,Skin Conditions
7,Oncology,Other,Cancer Treatment
8,Pulmonary,Respiratory,Lung and Breathing Disorders
9,General Medicine,General,Primary and Preventive Care
10,Radiology,General,Diagnostic Imaging
11,Neurology,Neurological,Brain and Nervous System
12,Pediatrics,General,Child Health Care
13,Obstetrics,General,Maternal and Newborn Care
14,ICU,General,Intensive Critical Care
15,Physical Therapy,Musculoskeletal,Rehabilitation and Recovery
