StoreID,StoreName,City,TargetYear,TargetMonth,TargetDate,MonthlyRevenueTarget
S01,Capitol Hill,Seattle,2024,1,2024-01-01,490
S02,Pike Place,Seattle,2024,1,2024-01-01,439
S03,Fremont,Seattle,2024,1,2024-01-01,347
S04,Ballard,Seattle,2024,1,2024-01-01,326
S05,Pearl District,Portland,2024,1,2024-01-01,428
S06,Hawthorne,Portland,2024,1,2024-01-01,377
S07,Alberta Arts,Portland,2024,1,2024-01-01,286
S08,Division Street,Portland,2024,1,2024-01-01,245
S09,Downtown Flagship,San Francisco,2024,1,2024-01-01,969
S10,Marina,San Francisco,2024,1,2024-01-01,571
S11,Hayes Valley,San Francisco,2024,1,2024-01-01,449
S12,SoMa,San Francisco,2024,1,2024-01-01,428
S01,Capitol Hill,Seattle,2024,2,2024-02-01,413
S02,Pike Place,Seattle,2024,2,2024-02-01,370
S03,Fremont,Seattle,2024,2,2024-02-01,292
S04,Ballard,Seattle,2024,2,2024-02-01,275
S05,Pearl District,Portland,2024,2,2024-02-01,361
S06,Hawthorne,Portland,2024,2,2024-02-01,318
S07,Alberta Arts,Portland,2024,2,2024-02-01,241
S08,Division Street,Portland,2024,2,2024-02-01,206
S09,Downtown Flagship,San Francisco,2024,2,2024-02-01,817
S10,Marina,San Francisco,2024,2,2024-02-01,482
S11,Hayes Valley,San Francisco,2024,2,2024-02-01,378
S12,SoMa,San Francisco,2024,2,2024-02-01,361
S01,Capitol Hill,Seattle,2024,3,2024-03-01,437
S02,Pike Place,Seattle,2024,3,2024-03-01,391
S03,Fremont,Seattle,2024,3,2024-03-01,309
S04,Ballard,Seattle,2024,3,2024-03-01,291
S05,Pearl District,Portland,2024,3,2024-03-01,382
S06,Hawthorne,Portland,2024,3,2024-03-01,337
S07,Alberta Arts,Portland,2024,3,2024-03-01,255
S08,Division Street,Portland,2024,3,2024-03-01,218
S09,Downtown Flagship,San Francisco,2024,3,2024-03-01,864
S10,Marina,San Francisco,2024,3,2024-03-01,510
S11,Hayes Valley,San Francisco,2024,3,2024-03-01,400
S12,SoMa,San Francisco,2024,3,2024-03-01,382
S01,Capitol Hill,Seattle,2024,4,2024-04-01,456
S02,Pike Place,Seattle,2024,4,2024-04-01,408
S03,Fremont,Seattle,2024,4,2024-04-01,323
S04,Ballard,Seattle,2024,4,2024-04-01,304
S05,Pearl District,Portland,2024,4,2024-04-01,399
S06,Hawthorne,Portland,2024,4,2024-04-01,352
S07,Alberta Arts,Portland,2024,4,2024-04-01,266
S08,Division Street,Portland,2024,4,2024-04-01,228
S09,Downtown Flagship,San Francisco,2024,4,2024-04-01,902
S10,Marina,San Francisco,2024,4,2024-04-01,532
S11,Hayes Valley,San Francisco,2024,4,2024-04-01,418
S12,SoMa,San Francisco,2024,4,2024-04-01,399
