CharityKey,CharityName,Organization,City,Region,ContactEmail
100,Emmaüs Lyon,Emmaüs,Lyon,Auvergne-Rhône-Alpes,lyon@emmaus.fr
101,Emmaüs Paris,Emmaüs,Paris,Île-de-France,paris@emmaus.fr
102,Emmaüs Marseille,Emmaüs,Marseille,Provence-Alpes-Côte d'Azur,marseille@emmaus.fr
103,Restos du Cœur Lyon,Restos du Cœur,Lyon,Auvergne-Rhône-Alpes,lyon@restosducoeur.fr
104,Restos du Cœur Paris,Restos du Cœur,Paris,Île-de-France,paris@restosducoeur.fr
105,Restos du Cœur Bordeaux,Restos du Cœur,Bordeaux,Nouvelle-Aquitaine,bordeaux@restosducoeur.fr
106,Secours Populaire Lille,Secours Populaire,Lille,Hauts-de-France,lille@secourspop.fr
107,Secours Populaire Nantes,Secours Populaire,Nantes,Pays de la Loire,nantes@secourspop.fr
108,Secours Populaire Toulouse,Secours Populaire,Toulouse,Occitanie,toulouse@secourspop.fr
109,Croix-Rouge Strasbourg,Croix-Rouge,Strasbourg,Grand Est,strasbourg@croixrouge.fr
110,Croix-Rouge Paris,Croix-Rouge,Paris,Île-de-France,paris@croixrouge.fr
111,Croix-Rouge Marseille,Croix-Rouge,Marseille,Provence-Alpes-Côte d'Azur,marseille@croixrouge.fr
