SnapshotDate,WarehouseKey,ProductKey,StockOnHand,DamagedCount
2022-01-03,1,1043,113,1
2022-01-03,1,1036,20,3
2022-01-03,1,1003,15,1
2022-01-03,1,1025,85,3
2022-01-03,1,1078,9,1
2022-01-03,2,1062,137,13
2022-01-03,2,1057,142,6
2022-01-03,2,1010,20,0
2022-01-03,2,1070,118,15
2022-01-03,2,1053,113,5
2022-01-03,2,1074,108,1
2022-01-03,3,1032,163,13
2022-01-03,3,1018,145,5
2022-01-03,3,1061,106,1
2022-01-03,3,1039,186,12
2022-01-03,3,1047,159,4
2022-01-03,3,1031,148,0
2022-01-03,3,1060,83,1
2022-01-03,3,1075,120,11
2022-01-03,3,1051,147,17
2022-01-03,4,1027,105,1
2022-01-03,4,1005,13,0
2022-01-03,4,1030,137,10
2022-01-03,4,1028,88,0
2022-01-03,4,1043,58,8
2022-01-03,4,1006,76,10
2022-01-03,4,1003,117,2
2022-01-03,4,1079,6,0
2022-01-03,4,1056,137,20
2022-01-03,4,1049,163,15
2022-01-03,5,1009,68,1
2022-01-03,5,1059,19,2
2022-01-03,5,1031,35,5
2022-01-03,5,1055,12,1
2022-01-03,5,1057,95,13
2022-01-03,5,1019,152,14
2022-01-03,6,1013,62,0
2022-01-03,6,1031,144,2
2022-01-03,6,1003,101,6
2022-01-03,6,1079,78,8
2022-01-03,6,1021,34,0
2022-01-03,6,1001,10,1
2022-01-03,6,1063,10,0
2022-01-03,7,1021,141,9
2022-01-03,7,1042,67,6
2022-01-03,7,1056,33,1
2022-01-03,7,1058,132,6
2022-01-03,7,1022,94,8
2022-01-03,7,1055,96,12
2022-01-03,7,1010,144,21
2022-01-03,7,1040,42,2
2022-01-03,8,1038,135,10
2022-01-03,8,1067,119,12
2022-01-03,8,1019,48,3
2022-01-03,8,1018,103,5
2022-01-03,8,1078,65,9
2022-01-03,8,1000,26,3
2022-01-10,1,1013,91,6
2022-01-10,1,1031,136,14
2022-01-10,1,1043,182,25
2022-01-10,1,1000,165,1
2022-01-10,1,1018,139,17
2022-01-10,1,1039,15,1
2022-01-10,1,1068,183,26
2022-01-10,1,1077,57,5
2022-01-10,1,1040,127,4
2022-01-10,1,1022,153,16
2022-01-10,2,1076,144,5
2022-01-10,2,1070,162,3
2022-01-10,2,1018,50,7
2022-01-10,2,1005,26,3
2022-01-10,2,1044,77,3
2022-01-10,2,1039,33,3
2022-01-10,2,1011,163,10
2022-01-10,2,1030,169,17
2022-01-10,2,1059,20,0
2022-01-10,2,1022,110,16
2022-01-10,3,1009,48,2
2022-01-10,3,1079,32,1
2022-01-10,3,1054,95,8
2022-01-10,3,1004,83,12
2022-01-10,3,1021,130,4
2022-01-10,3,1006,65,8
2022-01-10,3,1008,122,9
2022-01-10,4,1036,47,5
2022-01-10,4,1064,16,2
2022-01-10,4,1073,31,1
2022-01-10,4,1029,100,14
2022-01-10,4,1052,185,21
2022-01-10,4,1077,148,2
2022-01-10,4,1078,60,7
2022-01-10,4,1001,183,8
2022-01-10,4,1016,51,1
2022-01-10,5,1010,36,0
2022-01-10,5,1040,198,8
2022-01-10,5,1060,108,0
2022-01-10,5,1002,92,9
2022-01-10,5,1072,142,18
2022-01-10,5,1047,149,5
2022-01-10,5,1016,108,3
2022-01-10,6,1003,176,22
2022-01-10,6,1038,32,2
2022-01-10,6,1037,151,8
