WarehouseKey,Year,MonthNumber,DonationRateTarget,TaxCreditTarget
1,2022,1,0.241,21315.69
1,2022,2,0.229,20891.64
1,2022,3,0.253,8993.84
1,2022,4,0.254,14773.12
1,2022,5,0.23,10834.2
1,2022,6,0.28,13470.19
1,2022,7,0.253,22844.78
1,2022,8,0.262,21337.52
1,2022,9,0.233,20694.26
1,2022,10,0.268,9100.91
1,2022,11,0.264,9254.88
1,2022,12,0.241,10205.78
1,2023,1,0.288,18268.24
1,2023,2,0.31,27070.25
1,2023,3,0.275,13801.53
1,2023,4,0.316,26502.85
1,2023,5,0.306,12267.21
1,2023,6,0.325,16478.23
1,2023,7,0.275,19789.45
1,2023,8,0.297,21658.66
1,2023,9,0.285,14382.71
1,2023,10,0.297,16793.73
1,2023,11,0.292,12283.64
1,2023,12,0.325,21105.94
1,2024,1,0.364,9663.01
1,2024,2,0.327,23598.45
1,2024,3,0.379,24495.54
1,2024,4,0.378,27914.02
1,2024,5,0.326,18244.02
1,2024,6,0.352,26234.45
1,2024,7,0.349,23203.77
1,2024,8,0.374,16832.48
1,2024,9,0.358,20732.29
1,2024,10,0.376,12001.8
1,2024,11,0.378,25103.52
1,2024,12,0.377,29161.59
1,2025,1,0.372,22122.17
1,2025,2,0.39,12441.62
1,2025,3,0.422,27001.53
1,2025,4,0.402,10793.21
1,2025,5,0.42,10729.66
1,2025,6,0.411,18062.49
1,2025,7,0.399,11739.83
1,2025,8,0.389,22271.72
1,2025,9,0.428,11741.35
1,2025,10,0.408,12709.98
1,2025,11,0.415,12352.98
1,2025,12,0.416,17227.11
2,2022,1,0.228,24729.39
2,2022,2,0.262,9309.98
2,2022,3,0.224,15119.29
2,2022,4,0.243,15328.19
2,2022,5,0.277,15379.6
2,2022,6,0.229,19949.55
2,2022,7,0.248,16905.56
2,2022,8,0.224,13972.79
2,2022,9,0.236,23194.98
2,2022,10,0.24,24481.43
2,2022,11,0.264,14703.06
2,2022,12,0.258,13766.6
2,2023,1,0.289,27336.7
2,2023,2,0.306,23969.94
2,2023,3,0.29,22881.76
2,2023,4,0.286,17664.85
2,2023,5,0.289,9900.59
2,2023,6,0.272,15838.61
2,2023,7,0.308,15096.14
2,2023,8,0.323,21521.96
2,2023,9,0.324,13592.92
2,2023,10,0.316,23082.01
2,2023,11,0.293,12935.08
2,2023,12,0.329,24489.12
2,2024,1,0.32,15882.73
2,2024,2,0.341,22843.13
2,2024,3,0.372,10481.16
2,2024,4,0.365,13736.37
2,2024,5,0.32,26544.96
2,2024,6,0.343,20508.5
2,2024,7,0.365,23591.23
2,2024,8,0.353,25619.15
2,2024,9,0.334,11383.45
2,2024,10,0.356,13640.17
2,2024,11,0.351,19707.73
2,2024,12,0.353,28193.81
2,2025,1,0.386,11856.56
2,2025,2,0.417,13723.49
2,2025,3,0.422,27904.1
2,2025,4,0.399,11531.63
2,2025,5,0.379,13585.83
2,2025,6,0.377,22391.15
2,2025,7,0.405,13192.92
2,2025,8,0.416,26616.53
2,2025,9,0.382,10719.94
2,2025,10,0.415,30100.04
2,2025,11,0.41,10876.18
2,2025,12,0.407,12905.22
3,2022,1,0.239,13980.14
3,2022,2,0.239,10591.52
3,2022,3,0.235,17946.39
3,2022,4,0.253,9872.92
3,2022,5,0.227,13702.06
3,2022,6,0.25,8225.23
3,2022,7,0.279,11170.73
3,2022,8,0.236,12771.15
3,2022,9,0.229,23142.37
3,2022,10,0.244,19884.6
3,2022,11,0.239,16329.16
3,2022,12,0.279,11046.89
3,2023,1,0.28,11098.3
3,2023,2,0.276,13466.89
3,2023,3,0.281,25246.34
