FlowID,ProductKey,WarehouseKey,CharityKey,DateKey,InspectionDateKey,DonationDateKey,FlowStage,Quantity,UnitValue,LogisticsCost,RepairCost,TaxCreditEarned,DestructionCost,BATCH_ID,IMPORT_TIMESTAMP,SOURCE_SYSTEM,RECORD_HASH
1,1079,2,,2023-04-26,2023-05-04,,Repair,10,139.27,79.85,274.03,0.0,0.0,B-897305,2025-01-21 22:55:06,LEGACY_ERP,109b9978
2,1038,1,,2022-04-05,,,Store,2,40.64,22.56,0.0,0.0,0.0,B-252640,2025-01-08 16:26:36,MANUAL_ENTRY,38ae8499
3,1023,3,,2022-12-25,,,Warehouse,13,33.11,223.02,0.0,0.0,0.0,B-711484,2025-01-05 07:29:40,LEGACY_ERP,235f7b60
4,1032,1,,2024-08-10,2024-08-17,,Destroyed,22,43.66,348.45,0.0,0.0,80.62,B-413685,2025-01-21 13:44:16,LEGACY_ERP,194bd720
5,1025,7,,2024-09-16,,,Warehouse,13,86.61,211.83,0.0,0.0,0.0,B-833247,2025-01-10 00:53:42,LEGACY_ERP,1786f72d
6,1001,1,105,2025-05-26,2025-05-31,2025-06-05,Donated,10,109.24,66.54,119.04,974.58,0.0,B-810687,2025-01-25 23:49:42,MANUAL_ENTRY,eb6deb1
7,1012,1,101,2023-09-25,2023-10-02,2023-10-07,Donated,2,75.82,10.95,53.94,121.56,0.0,B-284171,2025-01-07 04:50:34,LEGACY_ERP,27ef5d3f
8,1064,5,,2022-12-03,,,Store,16,29.04,124.87,0.0,0.0,0.0,B-455168,2025-01-26 03:29:04,SAP_WMS,3639e599
9,1028,7,,2025-02-15,2025-02-25,,Damaged,13,43.53,81.27,0.0,0.0,0.0,B-486490,2025-01-22 23:43:16,MANUAL_ENTRY,1e5899c1
10,1047,2,,2025-10-14,,,Store,1,219.13,17.16,0.0,0.0,0.0,B-443939,2025-01-20 07:41:04,MANUAL_ENTRY,3aafecce
11,1059,5,,2025-08-22,2025-08-24,,Damaged,5,163.96,34.08,0.0,0.0,0.0,B-616554,2025-01-04 03:15:56,MANUAL_ENTRY,ea49943
12,1049,8,,2024-01-30,2024-02-03,,Repair,24,100.34,148.29,508.94,0.0,0.0,B-786735,2025-01-04 15:39:26,LEGACY_ERP,80de70c
13,1047,4,,2024-06-27,2024-06-30,,Damaged,8,224.87,171.18,0.0,0.0,0.0,B-485178,2025-01-18 20:22:03,LEGACY_ERP,179deba6
14,1024,2,,2024-07-20,,,Warehouse,7,52.29,40.95,0.0,0.0,0.0,B-122394,2025-01-02 10:15:08,MANUAL_ENTRY,1317f791
15,1008,4,,2025-04-15,,,Store,8,75.33,31.77,0.0,0.0,0.0,B-724932,2025-01-01 08:54:09,SAP_WMS,2888c4df
16,1032,3,103,2022-08-14,2022-08-21,2022-09-04,Donated,1,15.14,8.37,15.75,29.35,0.0,B-378258,2025-01-02 04:47:26,MANUAL_ENTRY,d3be8ba
17,1008,8,103,2024-07-07,2024-07-09,2024-07-29,Donated,17,142.77,94.55,315.52,1977.68,0.0,B-790909,2025-01-17 09:29:41,SAP_WMS,9da7138
18,1061,7,101,2024-05-23,2024-05-27,2024-06-05,Donated,16,12.38,301.17,292.91,350.11,0.0,B-388375,2025-01-20 20:37:35,MANUAL_ENTRY,1ac5b79c
19,1048,5,,2024-07-18,2024-07-21,,Damaged,14,131.08,108.99,0.0,0.0,0.0,B-782535,2025-01-25 17:46:55,SAP_WMS,217c2510
20,1057,4,,2024-04-27,,,Store,15,136.91,65.89,0.0,0.0,0.0,B-427730,2025-01-14 10:42:16,LEGACY_ERP,fbab70b
21,1060,2,,2022-07-06,2022-07-13,,Destroyed,3,126.13,41.31,0.0,0.0,29.1,B-683397,2025-01-02 18:35:35,LEGACY_ERP,30d76056
22,1015,7,,2023-12-26,2023-12-28,,Destroyed,25,91.95,340.32,0.0,0.0,281.06,B-729575,2025-01-10 11:06:36,MANUAL_ENTRY,13936439
23,1019,8,104,2023-04-05,2023-04-10,2023-04-26,Donated,12,190.73,84.87,192.32,1750.82,0.0,B-986209,2025-01-18 19:39:43,MANUAL_ENTRY,299780cf
24,1003,5,,2022-03-01,,,Store,23,111.78,151.21,0.0,0.0,0.0,B-468074,2025-01-01 05:55:09,MANUAL_ENTRY,3007d039
25,1051,2,106,2022-10-18,2022-10-27,2022-11-03,Donated,1,39.81,7.65,20.91,47.35,0.0,B-488028,2025-01-10 23:20:49,MANUAL_ENTRY,2c1e68c7
26,1010,1,,2022-11-15,,,Store,20,65.79,45.97,0.0,0.0,0.0,B-564637,2025-01-22 13:31:38,LEGACY_ERP,2077dd84
27,1034,4,,2024-11-15,,,Warehouse,14,24.09,37.31,0.0,0.0,0.0,B-721946,2025-01-16 16:42:19,SAP_WMS,1412da5f
28,1050,1,,2022-01-16,,,Store,7,159.64,46.23,0.0,0.0,0.0,B-403507,2025-01-11 03:00:31,MANUAL_ENTRY,2185bb0e
29,1022,3,,2024-02-18,2024-02-25,,Damaged,8,49.73,120.03,0.0,0.0,0.0,B-878086,2025-01-02 13:01:29,SAP_WMS,19ff1071
30,1073,7,,2025-03-20,2025-03-23,,Damaged,21,55.52,283.89,0.0,0.0,0.0,B-440544,2025-01-06 19:29:53,MANUAL_ENTRY,1d1e7932
31,1011,7,,2022-08-05,,,Store,19,68.61,250.95,0.0,0.0,0.0,B-425346,2025-01-24 10:14:21,SAP_WMS,ad94753
32,1065,2,,2024-12-22,2024-12-26,,Damaged,25,18.9,307.23,0.0,0.0,0.0,B-253557,2025-01-09 06:11:38,SAP_WMS,369d3f0a
33,1009,3,,2025-07-10,2025-07-19,,Damaged,25,45.09,134.56,0.0,0.0,0.0,B-691912,2025-01-21 20:39:20,MANUAL_ENTRY,1a317fa4
34,1019,8,,2022-05-20,2022-05-26,,Damaged,21,159.24,80.16,0.0,0.0,0.0,B-469038,2025-01-17 02:19:29,LEGACY_ERP,85e093d
35,1007,6,,2023-08-11,,,Warehouse,3,139.51,17.07,0.0,0.0,0.0,B-585188,2025-01-19 17:50:47,SAP_WMS,22be50da
36,1073,4,,2023-10-21,2023-10-24,,Repair,17,80.42,148.17,116.56,0.0,0.0,B-978053,2025-01-11 22:05:32,MANUAL_ENTRY,1101158a
37,1005,4,,2025-12-20,2025-12-24,,Damaged,15,39.44,77.17,0.0,0.0,0.0,B-396635,2025-01-13 13:49:21,MANUAL_ENTRY,2c39a416
38,1006,6,,2022-05-15,,,Store,18,85.34,327.78,0.0,0.0,0.0,B-858889,2025-01-28 21:58:38,SAP_WMS,1b4baebe
39,1010,3,,2023-12-18,,,Store,21,100.91,130.01,0.0,0.0,0.0,B-723945,2025-01-23 02:19:35,LEGACY_ERP,2f24df58
