DateKey,Date,Year,Quarter,QuarterNumber,MonthNumber,MonthName,MonthYear,WeekNumber,Day,DayName,DayOfWeek,IsWeekend,FiscalYear,FiscalQuarter
20210101,2021-01-01,2021,Q1,1,1,January,Jan 2021,53,1,Friday,5,False,FY2020,FQ3
20210102,2021-01-02,2021,Q1,1,1,January,Jan 2021,53,2,Saturday,6,True,FY2020,FQ3
20210103,2021-01-03,2021,Q1,1,1,January,Jan 2021,53,3,Sunday,7,True,FY2020,FQ3
20210104,2021-01-04,2021,Q1,1,1,January,Jan 2021,1,4,Monday,1,False,FY2020,FQ3
20210105,2021-01-05,2021,Q1,1,1,January,Jan 2021,1,5,Tuesday,2,False,FY2020,FQ3
20210106,2021-01-06,2021,Q1,1,1,January,Jan 2021,1,6,Wednesday,3,False,FY2020,FQ3
20210107,2021-01-07,2021,Q1,1,1,January,Jan 2021,1,7,Thursday,4,False,FY2020,FQ3
20210108,2021-01-08,2021,Q1,1,1,January,Jan 2021,1,8,Friday,5,False,FY2020,FQ3
20210109,2021-01-09,2021,Q1,1,1,January,Jan 2021,1,9,Saturday,6,True,FY2020,FQ3
20210110,2021-01-10,2021,Q1,1,1,January,Jan 2021,1,10,Sunday,7,True,FY2020,FQ3
20210111,2021-01-11,2021,Q1,1,1,January,Jan 2021,2,11,Monday,1,False,FY2020,FQ3
20210112,2021-01-12,2021,Q1,1,1,January,Jan 2021,2,12,Tuesday,2,False,FY2020,FQ3
20210113,2021-01-13,2021,Q1,1,1,January,Jan 2021,2,13,Wednesday,3,False,FY2020,FQ3
20210114,2021-01-14,2021,Q1,1,1,January,Jan 2021,2,14,Thursday,4,False,FY2020,FQ3
20210115,2021-01-15,2021,Q1,1,1,January,Jan 2021,2,15,Friday,5,False,FY2020,FQ3
20210116,2021-01-16,2021,Q1,1,1,January,Jan 2021,2,16,Saturday,6,True,FY2020,FQ3
20210117,2021-01-17,2021,Q1,1,1,January,Jan 2021,2,17,Sunday,7,True,FY2020,FQ3
20210118,2021-01-18,2021,Q1,1,1,January,Jan 2021,3,18,Monday,1,False,FY2020,FQ3
20210119,2021-01-19,2021,Q1,1,1,January,Jan 2021,3,19,Tuesday,2,False,FY2020,FQ3
20210120,2021-01-20,2021,Q1,1,1,January,Jan 2021,3,20,Wednesday,3,False,FY2020,FQ3
20210121,2021-01-21,2021,Q1,1,1,January,Jan 2021,3,21,Thursday,4,False,FY2020,FQ3
20210122,2021-01-22,2021,Q1,1,1,January,Jan 2021,3,22,Friday,5,False,FY2020,FQ3
20210123,2021-01-23,2021,Q1,1,1,January,Jan 2021,3,23,Saturday,6,True,FY2020,FQ3
