StoreKey,ProductKey,DateKey,SnapshotDate,StockCount
1,4,20230102,2023-01-02,82
1,7,20230102,2023-01-02,106
1,8,20230102,2023-01-02,181
1,10,20230102,2023-01-02,154
1,12,20230102,2023-01-02,79
1,13,20230102,2023-01-02,125
1,15,20230102,2023-01-02,173
1,17,20230102,2023-01-02,120
1,18,20230102,2023-01-02,124
1,23,20230102,2023-01-02,184
2,4,20230102,2023-01-02,103
2,7,20230102,2023-01-02,55
2,8,20230102,2023-01-02,52
2,10,20230102,2023-01-02,90
2,12,20230102,2023-01-02,98
2,13,20230102,2023-01-02,98
2,15,20230102,2023-01-02,87
2,17,20230102,2023-01-02,101
2,18,20230102,2023-01-02,53
2,23,20230102,2023-01-02,92
3,4,20230102,2023-01-02,90
3,7,20230102,2023-01-02,83
3,8,20230102,2023-01-02,107
3,10,20230102,2023-01-02,127
3,12,20230102,2023-01-02,117
3,13,20230102,2023-01-02,113
3,15,20230102,2023-01-02,111
3,17,20230102,2023-01-02,108
3,18,20230102,2023-01-02,84
3,23,20230102,2023-01-02,127
4,4,20230102,2023-01-02,126
4,7,20230102,2023-01-02,109
4,8,20230102,2023-01-02,105
4,10,20230102,2023-01-02,105
4,12,20230102,2023-01-02,73
4,13,20230102,2023-01-02,85
4,15,20230102,2023-01-02,123
4,17,20230102,2023-01-02,147
4,18,20230102,2023-01-02,129
4,23,20230102,2023-01-02,69
5,4,20230102,2023-01-02,39
5,7,20230102,2023-01-02,61
5,8,20230102,2023-01-02,53
5,10,20230102,2023-01-02,57
5,12,20230102,2023-01-02,54
5,13,20230102,2023-01-02,71
5,15,20230102,2023-01-02,89
5,17,20230102,2023-01-02,85
5,18,20230102,2023-01-02,58
5,23,20230102,2023-01-02,42
6,4,20230102,2023-01-02,57
6,7,20230102,2023-01-02,60
6,8,20230102,2023-01-02,88
6,10,20230102,2023-01-02,90
6,12,20230102,2023-01-02,80
6,13,20230102,2023-01-02,70
6,15,20230102,2023-01-02,81
6,17,20230102,2023-01-02,93
6,18,20230102,2023-01-02,114
6,23,20230102,2023-01-02,108
7,4,20230102,2023-01-02,157
7,7,20230102,2023-01-02,165
7,8,20230102,2023-01-02,130
7,10,20230102,2023-01-02,115
7,12,20230102,2023-01-02,187
7,13,20230102,2023-01-02,171
7,15,20230102,2023-01-02,155
7,17,20230102,2023-01-02,127
7,18,20230102,2023-01-02,138
7,23,20230102,2023-01-02,174
8,4,20230102,2023-01-02,101
8,7,20230102,2023-01-02,101
8,8,20230102,2023-01-02,64
8,10,20230102,2023-01-02,85
8,12,20230102,2023-01-02,92
8,13,20230102,2023-01-02,113
8,15,20230102,2023-01-02,62
8,17,20230102,2023-01-02,100
8,18,20230102,2023-01-02,142
8,23,20230102,2023-01-02,137
9,4,20230102,2023-01-02,66
9,7,20230102,2023-01-02,83
9,8,20230102,2023-01-02,39
9,10,20230102,2023-01-02,87
9,12,20230102,2023-01-02,62
9,13,20230102,2023-01-02,58
9,15,20230102,2023-01-02,73
9,17,20230102,2023-01-02,85
9,18,20230102,2023-01-02,87
9,23,20230102,2023-01-02,58
10,4,20230102,2023-01-02,131
10,7,20230102,2023-01-02,57
10,8,20230102,2023-01-02,72
10,10,20230102,2023-01-02,128
10,12,20230102,2023-01-02,95
10,13,20230102,2023-01-02,60
10,15,20230102,2023-01-02,118
10,17,20230102,2023-01-02,93
10,18,20230102,2023-01-02,101
10,23,20230102,2023-01-02,72
12,4,20230102,2023-01-02,168
12,7,20230102,2023-01-02,78
12,8,20230102,2023-01-02,162
