launch_id,mission_name,launch_date,year,rocket_id,site_id,customer_id,payload_type,payload_mass_kg,target_orbit,outcome,landing_outcome,recovery_attempted,turnaround_days,revenue_usd,analyst_email
SX-0001,Crew-88,2010-02-27,2010,F9-B1,SLC40,C001,Cargo (Dragon),6954,ISS,Success,N/A,False,,71124424,ops-team@spacex.com
SX-0002,Dragon-55,2010-11-24,2010,F9-B1,SLC40,C005,Satellite - Commercial,2416,GTO,Success,N/A,False,,76392398,ops-team@spacex.com
SX-0003,Iridium NEXT-57,2011-01-13,2011,F9-B1,SLC40,C001,Science Probe,7219,LEO,Failure,N/A,False,,68895371,ops-team@spacex.com
SX-0004,NROL-48,2011-05-21,2011,F9-B1,SLC40,C010,Satellite - Commercial,3221,MEO,Success,N/A,False,,69727758,ops-team@spacex.com
SX-0005,Arabsat-46,2012-03-12,2012,F9-B1,SLC40,C006,Satellite - Commercial,4987,GTO,Success,N/A,False,,59672066,ops-team@spacex.com
SX-0006,O3b-96,2012-04-24,2012,F9-B1,SLC40,C009,Satellite - Commercial,6586,GEO,Success,N/A,False,,58172940,ops-team@spacex.com
SX-0007,Transporter-53,2012-05-05,2012,F9-B1,SLC40,C001,Cargo (Dragon),2203,ISS,Failure,N/A,False,,75660348,ops-team@spacex.com
SX-0008,USSF-05,2013-02-22,2013,F9-B1,SLC40,C005,Satellite - Commercial,2885,GEO,Failure,N/A,False,,77182017,ops-team@spacex.com
SX-0009,Crew-52,2013-10-07,2013,F9-B1,SLC4E,C001,Cargo (Dragon),3864,TLI,Success,N/A,False,,62863072,ops-team@spacex.com
SX-0010,USSF-69,2013-12-13,2013,F9-B1,SLC4E,C005,Satellite - Commercial,5274,MEO,Success,N/A,False,,62941046,ops-team@spacex.com
SX-0011,SES-45,2014-01-16,2014,F9-B1,SLC4E,C001,Cargo (Dragon),4174,TLI,Success,N/A,False,,73670716,ops-team@spacex.com
SX-0012,Iridium NEXT-56,2014-01-17,2014,F9-B1,SLC40,C007,Cargo (Dragon),6723,LEO,Success,N/A,False,,54045664,ops-team@spacex.com
SX-0013,OneWeb-85,2014-02-14,2014,F9-B3,SLC4E,C006,Satellite - Commercial,4704,MEO,Success,N/A,False,84.0,61194470,ops-team@spacex.com
SX-0014,CRS-25,2014-02-17,2014,F9-B1,SLC4E,C005,Satellite - Commercial,4422,MEO,Success,N/A,False,,65352051,ops-team@spacex.com
SX-0015,Starlink-27,2014-08-05,2014,F9-B1,SLC4E,C006,Satellite - Commercial,2003,GEO,Success,N/A,False,,65606980,ops-team@spacex.com
SX-0016,Intelsat-95,2014-10-30,2014,F9-B3,SLC4E,C005,Satellite - Commercial,3750,MEO,Success,N/A,False,107.0,59824141,ops-team@spacex.com
SX-0017,Transporter-26,2015-01-14,2015,F9-B3,SLC40,C004,Satellite - Commercial,4542,GTO,Failure,Failure,True,96.0,45549571,N/A
SX-0018,Iridium NEXT-90,2015-04-12,2015,F9-B1,SLC40,C010,Satellite - Commercial,6715,GTO,Success,N/A,False,,64367418,ops-team@spacex.com
SX-0019,Crew-23,2015-04-22,2015,F9-B3,SLC40,C006,Satellite - Commercial,2873,GEO,Success,Success,True,377.0,56654049,ops-team@spacex.com
SX-0020,AsiaSat-72,2015-04-30,2015,F9-B1,SLC40,C006,Satellite - Commercial,5806,MEO,Success,N/A,False,,70077212,ops-team@spacex.com
SX-0021,Starlink-97,2015-09-16,2015,F9-B3,SLC4E,C010,Satellite - Commercial,5888,GEO,Failure,Failure,True,147.0,63896914,ops-team@spacex.com
SX-0022,Starlink-43,2015-10-15,2015,F9-B3,SLC40,C010,Satellite - Commercial,4340,GTO,Success,Success,True,184.0,65093103,ops-team@spacex.com
SX-0023,Crew-09,2015-11-05,2015,F9-B1,SLC40,C006,Satellite - Commercial,3251,MEO,Success,N/A,False,,65201433,ops-team@spacex.com
SX-0024,Arabsat-99,2016-04-22,2016,F9-B3,SLC4E,C010,Satellite - Commercial,5441,GEO,Success,Success,True,320.0,66286395,ops-team@spacex.com
SX-0025,USSF-54,2016-05-22,2016,F9-B3,SLC4E,C010,Satellite - Commercial,4446,GEO,Success,Failure,True,296.0,61819102,ops-team@spacex.com
SX-0026,Dragon-87,2016-08-02,2016,F9-B3,SLC40,C009,Satellite - Commercial,5185,GEO,Success,Failure,True,228.0,61294080,ops-team@spacex.com
SX-0027,Dragon-55,2016-08-17,2016,F9-B3,SLC40,C003,Satellite - Government,1722,MEO,Failure,Failure,True,90.0,64504155,ops-team@spacex.com
SX-0028,Starlink-97,2016-10-06,2016,F9-B3,SLC4E,C001,Cargo (Dragon),4677,ISS,Success,Success,True,236.0,50676109,ops-team@spacex.com
SX-0029,Dragon-09,2016-10-28,2016,F9-B3,SLC40,C009,Satellite - Commercial,4866,GTO,Success,Success,True,354.0,45905808,TBD
SX-0030,Intelsat-86,2016-11-28,2016,F9-B3,SLC40,C003,Satellite - Government,3454,MEO,Failure,Failure,True,79.0,57689315,ops-team@spacex.com
SX-0031,Iridium NEXT-15,2016-12-25,2016,F9-B3,SLC4E,C009,Satellite - Commercial,6974,MEO,Failure,Success,True,104.0,66706217,ops-team@spacex.com
SX-0032,Iridium NEXT-26,2017-01-04,2017,F9-B3,SLC40,C010,Satellite - Commercial,5074,GEO,Failure,Failure,True,59.0,58322201,ops-team@spacex.com
SX-0033,Transporter-06,2017-01-23,2017,F9-B4,SLC40,C003,Satellite - Government,2491,GTO,Success,Success,True,198.0,56986768,ops-team@spacex.com
SX-0034,GPS-56,2017-02-17,2017,F9-B4,SLC40,C006,Satellite - Commercial,5441,GEO,Success,Success,True,206.0,59300664,ops-team@spacex.com
SX-0035,Transporter-69,2017-02-19,2017,F9-B3,SLC40,C008,Satellite - Commercial,4212,MEO,Success,Failure,True,268.0,55459659,ops-team@spacex.com
SX-0036,Arabsat-58,2017-02-22,2017,F9-B4,SLC4E,C010,Satellite - Commercial,2709,GEO,Success,Success,True,145.0,61885716,ops-team@spacex.com
SX-0037,Intelsat-28,2017-03-21,2017,F9-B4,LC39A,C010,Satellite - Commercial,4662,GTO,Success,Success,True,202.0,62951228,ops-team@spacex.com
SX-0038,Crew-11,2030-11-01,2017,F9-B3,LC39A,C006,Satellite - Commercial,2083,MEO,Success,Success,True,144.0,61201679,ops-team@spacex.com
SX-0039,Transporter-03,2017-04-21,2017,F9-B3,SLC40,C010,Satellite - Commercial,6020,GEO,Success,Failure,True,68.0,51620300,ops-team@spacex.com
SX-0040,AsiaSat-45,2017-05-16,2017,F9-B3,SLC40,C008,Satellite - Commercial,5876,MEO,Success,Failure,True,238.0,67424207,ops-team@spacex.com
SX-0041,GPS-93,2017-05-23,2017,F9-B4,SLC4E,C006,Satellite - Commercial,4059,GTO,Success,Success,True,119.0,52099828,ops-team@spacex.com
SX-0042,Iridium NEXT-76,2017-06-22,2017,F9-B4,LC39A,C010,Satellite - Commercial,5966,GEO,Success,Success,True,289.0,58427791,ops-team@spacex.com
SX-0043,AsiaSat-17,2017-06-24,2017,F9-B3,SLC4E,C003,Satellite - Government,1615,GTO,Success,Success,True,161.0,46024103,ops-team@spacex.com
SX-0044,USSF-02,2017-06-26,2017,F9-B3,SLC4E,C010,Satellite - Commercial,6021,GTO,Success,Success,True,314.0,51397634,ops-team@spacex.com
SX-0045,USSF-09,2017-07-03,2017,F9-B3,SLC4E,C009,Satellite - Commercial,5913,GTO,Success,Success,True,226.0,56064297,ops-team@spacex.com
SX-0046,GPS-32,2017-07-14,2017,F9-B4,LC39A,C008,Satellite - Commercial,6610,GEO,Success,Success,True,81.0,57556643,ops-team@spacex.com
SX-0047,Intelsat-57,2017-08-05,2017,F9-B3,LC39A,C010,Satellite - Commercial,6280,GEO,Failure,Success,True,173.0,64353749,ops-team@spacex.com
SX-0048,Dragon-28,2017-11-06,2017,F9-B3,LC39A,C006,Satellite - Commercial,2812,GTO,Success,Failure,True,156.0,59859633,
SX-0049,Iridium NEXT-77,2017-12-24,2017,F9-B3,SLC40,C003,Satellite - Government,4846,SSO,Success,Success,True,261.0,51553334,ops-team@spacex.com
SX-0050,Transporter-81,2018-01-24,2018,F9-B5,LC39A,C006,Satellite - Commercial,3912,GEO,Success,Success,True,322.0,80234668,ops-team@spacex.com
SX-0051,GPS-08,2018-02-05,2018,F9-B5,SLC40,C009,Satellite - Commercial,4176,GTO,Success,Failure,True,105.0,84197751,ops-team@spacex.com
SX-0052,AsiaSat-70,2018-02-10,2018,F9-B5,SLC40,C009,Satellite - Commercial,5297,GEO,Success,Success,True,273.0,73498429,ops-team@spacex.com
SX-0053,USSF-74,2018-02-10,2018,F9-B4,LC39A,C009,Satellite - Commercial,3875,MEO,Success,Success,True,321.0,66392691,ops-team@spacex.com
SX-0054,Intelsat-36,2018-02-21,2018,F9-B5,SLC40,C010,Satellite - Commercial,6251,MEO,Success,Success,True,113.0,90357906,ops-team@spacex.com
SX-0055,OneWeb-86,2018-03-05,2018,FH-C,LC39A,C008,Satellite - Commercial,5345,GEO,Failure,Success,True,74.0,124740049,ops-team@spacex.com
SX-0056,Intelsat-12,2018-04-09,2018,F9-B5,LC39A,C009,Satellite - Commercial,6506,GTO,Success,Failure,True,182.0,67909825,ops-team@spacex.com
SX-0057,USSF-70,2018-04-27,2018,F9-B4,LC39A,C012,Satellite - Commercial,2009,MEO,Failure,Failure,True,257.0,54298070,ops-team@spacex.com
SX-0058,Crew-35,,2018,F9-B5,LC39A,C010,Satellite - Commercial,5621,GTO,,Success,True,302.0,64250048,ops-team@spacex.com
