time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,aasqa,region
2023-01-01,15.2,11.7,13.3,3.8,28.9,11,Île-de-France
2023-01-02,15.1,6.2,10.5,7.2,27.1,11,Île-de-France
2023-01-03,9.9,5.6,7.5,1.2,25.0,11,Île-de-France
2023-01-04,13.1,9.5,11.6,3.1,28.6,11,Île-de-France
2023-01-05,13.6,11.1,12.5,0.6,25.0,11,Île-de-France
2023-01-06,12.9,9.6,11.1,0.0,24.0,11,Île-de-France
2023-01-07,10.9,6.1,9.0,2.5,28.7,11,Île-de-France
2023-01-08,10.6,7.9,9.2,6.6,25.4,11,Île-de-France
2023-01-09,8.4,5.3,6.9,0.1,31.8,11,Île-de-France
2023-01-10,11.6,3.8,6.8,2.8,27.0,11,Île-de-France
2023-01-11,12.3,8.8,10.7,7.9,26.9,11,Île-de-France
2023-01-12,11.9,9.1,10.9,0.7,31.1,11,Île-de-France
2023-01-13,11.1,7.0,9.2,1.9,31.5,11,Île-de-France
2023-01-14,12.6,6.8,10.4,8.5,34.3,11,Île-de-France
2023-01-15,9.6,4.9,7.0,3.1,35.6,11,Île-de-France
2023-01-16,6.4,1.9,5.1,8.4,43.2,11,Île-de-France
2023-01-17,3.4,-1.1,1.5,3.8,13.5,11,Île-de-France
2023-01-18,5.0,-2.5,0.9,0.2,16.5,11,Île-de-France
2023-01-19,3.4,-2.2,0.4,4.5,11.5,11,Île-de-France
2023-01-20,5.8,-2.7,1.2,0.2,19.7,11,Île-de-France
2023-01-21,3.8,-1.5,1.0,0.1,23.2,11,Île-de-France
2023-01-22,3.1,-1.0,0.4,0.0,21.9,11,Île-de-France
2023-01-23,3.5,0.3,1.6,0.0,21.8,11,Île-de-France
2023-01-24,3.5,-1.6,1.1,0.0,19.2,11,Île-de-France
2023-01-25,2.4,0.7,1.3,0.0,12.2,11,Île-de-France
2023-01-26,4.6,0.1,2.0,0.4,17.4,11,Île-de-France
2023-01-27,4.7,3.0,3.9,0.5,22.4,11,Île-de-France
2023-01-28,3.7,-1.9,2.2,0.0,19.6,11,Île-de-France
2023-01-29,4.7,-3.7,1.4,0.0,12.0,11,Île-de-France
2023-01-30,9.0,1.1,5.2,0.0,19.8,11,Île-de-France
2023-01-31,8.2,-1.2,3.5,0.0,21.8,11,Île-de-France
2023-02-01,9.7,5.9,7.5,0.0,25.1,11,Île-de-France
2023-02-02,10.5,4.4,7.2,0.0,24.7,11,Île-de-France
2023-02-03,10.1,6.4,8.3,0.0,22.4,11,Île-de-France
2023-02-04,10.8,7.7,8.8,0.0,13.8,11,Île-de-France
2023-02-05,9.4,4.0,6.6,0.1,23.1,11,Île-de-France
2023-02-06,6.9,0.2,3.1,0.0,14.4,11,Île-de-France
2023-02-07,6.2,-1.1,1.6,0.0,15.3,11,Île-de-France
2023-02-08,6.0,-4.2,-0.5,0.0,11.2,11,Île-de-France
2023-02-09,6.6,-5.2,-0.1,0.0,9.8,11,Île-de-France
2023-02-10,9.4,-0.6,4.6,0.0,10.5,11,Île-de-France
2023-02-11,8.5,-0.5,4.4,0.0,8.2,11,Île-de-France
2023-02-12,9.1,5.3,7.1,0.0,15.3,11,Île-de-France
2023-02-13,11.6,-1.5,3.9,0.0,11.7,11,Île-de-France
2023-02-14,11.6,-0.4,3.5,0.0,11.9,11,Île-de-France
2023-02-15,12.8,-1.6,4.5,0.0,11.0,11,Île-de-France
2023-02-16,11.4,2.8,7.0,1.4,16.4,11,Île-de-France
2023-02-17,14.9,10.6,12.0,0.2,24.3,11,Île-de-France
2023-02-18,12.4,9.4,10.8,0.0,24.3,11,Île-de-France
2023-02-19,11.9,4.6,9.6,0.1,18.8,11,Île-de-France
2023-02-20,11.4,1.9,5.4,0.0,10.3,11,Île-de-France
2023-02-21,13.5,0.2,5.8,0.0,9.7,11,Île-de-France
2023-02-22,10.4,5.2,8.1,2.3,15.6,11,Île-de-France
2023-02-23,10.1,5.0,7.4,0.1,15.0,11,Île-de-France
2023-02-24,10.4,4.6,6.6,0.0,16.1,11,Île-de-France
2023-02-25,7.8,1.4,5.2,0.1,22.6,11,Île-de-France
2023-02-26,5.1,-1.1,2.1,0.0,32.0,11,Île-de-France
2023-02-27,6.4,-1.5,2.0,0.0,25.9,11,Île-de-France
2023-02-28,5.2,-2.5,1.4,0.0,20.7,11,Île-de-France
2023-03-01,7.3,-2.5,1.6,0.0,19.5,11,Île-de-France
2023-03-02,9.3,-2.5,2.5,0.0,14.1,11,Île-de-France
2023-03-03,8.9,-0.6,3.3,0.0,16.4,11,Île-de-France
2023-03-04,6.8,-1.8,2.8,0.0,18.0,11,Île-de-France
2023-03-05,7.2,2.6,4.9,0.3,8.6,11,Île-de-France
2023-03-06,7.4,1.3,4.6,1.4,17.5,11,Île-de-France
2023-03-07,8.8,3.2,5.9,0.2,24.3,11,Île-de-France
2023-03-08,14.4,5.4,9.9,20.7,31.7,11,Île-de-France
2023-03-09,14.8,8.8,11.3,7.6,31.8,11,Île-de-France
2023-03-10,10.9,4.6,7.9,2.2,42.6,11,Île-de-France
2023-03-11,7.3,1.0,4.6,4.7,14.4,11,Île-de-France
2023-03-12,14.1,6.2,10.6,4.7,23.9,11,Île-de-France
2023-03-13,15.8,10.9,13.2,2.2,31.8,11,Île-de-France
2023-03-14,10.3,3.0,8.4,5.5,36.3,11,Île-de-France
2023-03-15,10.8,1.8,6.1,0.2,11.2,11,Île-de-France
2023-03-16,15.6,4.7,9.7,0.0,18.9,11,Île-de-France
2023-03-17,15.9,7.1,11.1,7.1,25.1,11,Île-de-France
